session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
797yw66a,31,b2nyzjsv,116,Survey,Results,1685890396,12,0,0
797yw66a,14,bo5ks1p8,95,Survey,Choice,1685890398,10,0,0
797yw66a,30,d6hvegvu,4,Survey,ComprehensionCheck_2,1685890399,1,0,0
797yw66a,37,z2drio1h,25,Survey,Choice,1685890404,3,0,0
797yw66a,30,d6hvegvu,118,Survey,Results_failed_comprehension,1685890406,12,0,0
797yw66a,40,mgvv0x5m,3,Survey,ComprehensionCheck_1,1685890409,1,0,0
797yw66a,15,yhto2pxa,3,Survey,ComprehensionCheck_1,1685890414,1,0,0
797yw66a,37,z2drio1h,35,Survey,Choice,1685890417,4,0,0
797yw66a,40,mgvv0x5m,4,Survey,ComprehensionCheck_2,1685890425,1,0,0
797yw66a,14,bo5ks1p8,105,Survey,Choice,1685890426,11,0,0
797yw66a,40,mgvv0x5m,118,Survey,Results_failed_comprehension,1685890428,12,0,0
797yw66a,41,0f4i6zc4,0,,InitializeParticipant,1685890432,1,0,0
797yw66a,37,z2drio1h,45,Survey,Choice,1685890436,5,0,0
797yw66a,42,6qmqpdvf,0,,InitializeParticipant,1685890439,1,0,0
797yw66a,14,bo5ks1p8,115,Survey,Choice,1685890446,12,0,0
797yw66a,41,0f4i6zc4,1,Survey,Demographics,1685890450,1,0,0
797yw66a,37,z2drio1h,55,Survey,Choice,1685890453,6,0,0
797yw66a,41,0f4i6zc4,2,Survey,Introduction,1685890457,1,0,0
797yw66a,42,6qmqpdvf,1,Survey,Demographics,1685890465,1,0,0
797yw66a,42,6qmqpdvf,2,Survey,Introduction,1685890468,1,0,0
797yw66a,37,z2drio1h,65,Survey,Choice,1685890469,7,0,0
797yw66a,43,0tz0xzg5,0,,InitializeParticipant,1685890470,1,0,0
797yw66a,41,0f4i6zc4,3,Survey,ComprehensionCheck_1,1685890472,1,0,0
797yw66a,15,yhto2pxa,4,Survey,ComprehensionCheck_2,1685890481,1,0,0
797yw66a,37,z2drio1h,75,Survey,Choice,1685890482,8,0,0
797yw66a,44,4gd0wd2u,0,,InitializeParticipant,1685890489,1,0,0
797yw66a,14,bo5ks1p8,116,Survey,Results,1685890491,12,0,0
797yw66a,39,45sbdigd,15,Survey,Choice,1685890491,2,0,0
797yw66a,37,z2drio1h,85,Survey,Choice,1685890495,9,0,0
797yw66a,21,z3g0geb8,65,Survey,Choice,1685890504,7,0,0
797yw66a,43,0tz0xzg5,1,Survey,Demographics,1685890505,1,0,0
797yw66a,37,z2drio1h,95,Survey,Choice,1685890506,10,0,0
797yw66a,39,45sbdigd,25,Survey,Choice,1685890507,3,0,0
